"Code";"Name";"total;total;2018;[person]";"total;total;2019;[person]";"total;total;2020;[person]";"total;total;2021;[person]";"total;total;2022;[person]";"total;total;2023;[person]";
1607000;"Powiat nyski";35;27;28;34;52;77;
1608000;"Powiat oleski";24;10;8;17;18;20;
1609000;"Powiat opolski";37;36;26;32;40;32;
1610000;"Powiat prudnicki";8;17;17;22;20;25;
1611000;"Powiat strzelecki";8;14;6;14;17;11;
1661000;"City with powiat status Opole";37;36;26;32;40;32;
1801000;"Powiat bieszczadzki";4;4;6;5;6;7;
1802000;"Powiat brzozowski";14;14;12;13;22;18;
1803000;"Powiat dębicki";40;46;57;57;53;54;
1804000;"Powiat jarosławski";28;24;31;31;39;22;
1805000;"Powiat jasielski";32;39;52;50;45;57;
1806000;"Powiat kolbuszowski";15;16;11;17;16;9;
1807000;"Powiat krośnieński";49;53;55;71;61;81;
1808000;"Powiat leżajski";28;20;21;21;49;41;
1809000;"Powiat lubaczowski";7;8;10;19;13;10;
1810000;"Powiat łańcucki";39;29;27;30;39;35;
1811000;"Powiat mielecki";17;17;30;20;22;21;
1812000;"Powiat niżański";22;12;14;13;17;15;
1813000;"Powiat przemyski";46;41;34;38;42;50;
1814000;"Powiat przeworski";16;11;12;17;15;15;
1815000;"Powiat ropczycko-sędziszowski";14;8;12;12;8;9;
1816000;"Powiat rzeszowski";114;93;95;81;125;100;
1817000;"Powiat sanocki";22;26;30;56;44;22;
1818000;"Powiat stalowowolski";41;35;30;32;34;41;
1819000;"Powiat strzyżowski";10;19;8;12;11;7;
1820000;"Powiat tarnobrzeski";19;14;17;22;22;34;
1821000;"Powiat leski";15;16;16;14;12;5;
1861000;"City with powiat status Krosno";49;53;55;71;61;81;
1862000;"City with powiat status Przemyśl";46;41;34;38;42;50;
1863000;"City with powiat status Rzeszów";114;93;95;81;125;100;
1864000;"City with powiat status Tarnobrzeg";19;14;17;22;22;34;
2001000;"Powiat augustowski";11;16;12;8;7;15;
2002000;"Powiat białostocki";138;203;215;207;238;212;
2003000;"Powiat bielski";21;17;27;34;33;29;
2004000;"Powiat grajewski";17;10;7;9;5;9;
2005000;"Powiat hajnowski";5;20;37;55;32;53;
2006000;"Powiat kolneński";7;5;6;4;9;9;
2007000;"Powiat łomżyński";18;26;38;55;78;49;
2008000;"Powiat moniecki";13;16;12;14;14;18;
2009000;"Powiat sejneński";13;14;9;8;5;13;
2010000;"Powiat siemiatycki";11;18;15;22;16;28;
2011000;"Powiat sokólski";19;32;20;30;26;43;
2012000;"Powiat suwalski";45;52;66;66;90;94;
2013000;"Powiat wysokomazowiecki";14;12;20;18;17;17;
2014000;"Powiat zambrowski";14;20;14;12;13;13;
2061000;"City with powiat status Białystok";138;203;215;207;238;212;
2062000;"City with powiat status Łomża";18;26;38;55;78;49;
2063000;"City with powiat status Suwałki";45;52;66;66;90;94;
2201000;"Powiat bytowski";16;19;16;71;80;51;
2202000;"Powiat chojnicki";17;21;27;34;35;44;
2203000;"Powiat człuchowski";7;9;14;65;54;38;
2204000;"Powiat gdański";53;59;38;45;58;73;
2205000;"Powiat kartuski";40;34;55;73;101;90;
2206000;"Powiat kościerski";3;14;14;50;69;81;
2207000;"Powiat kwidzyński";29;28;26;29;45;40;
2208000;"Powiat lęborski";39;54;51;57;51;57;
2209000;"Powiat malborski";4;8;14;88;63;60;
2210000;"Powiat nowodworski";4;6;8;32;24;17;
2211000;"Powiat pucki";16;42;41;50;89;43;
2212000;"Powiat słupski";47;47;66;100;117;126;
2213000;"Powiat starogardzki";15;24;34;63;65;78;
2214000;"Powiat tczewski";60;83;75;126;120;100;
2215000;"Powiat wejherowski";70;93;91;192;189;185;
2216000;"Powiat sztumski";14;7;13;16;22;25;
2261000;"City with powiat status Gdańsk";104;94;100;414;345;440;
2262000;"City with powiat status Gdynia";26;28;36;128;187;223;
2263000;"City with powiat status Słupsk";47;47;66;100;117;126;
2264000;"City with powiat status Sopot";5;5;5;42;40;40;
2401000;"Powiat będziński";7;7;6;9;10;10;
2402000;"Powiat bielski";133;132;145;138;181;172;
2403000;"Powiat cieszyński";85;54;59;84;89;91;
2404000;"Powiat częstochowski";305;291;253;258;290;309;
2405000;"Powiat gliwicki";130;116;147;140;157;212;
2406000;"Powiat kłobucki";21;19;29;26;37;56;
2407000;"Powiat lubliniecki";45;42;58;69;58;65;
2408000;"Powiat mikołowski";16;11;5;9;12;9;
2409000;"Powiat myszkowski";44;53;44;48;48;50;
2410000;"Powiat pszczyński";59;69;67;70;76;82;
2411000;"Powiat raciborski";32;37;58;50;49;52;
2412000;"Powiat rybnicki";44;22;52;43;33;30;
2413000;"Powiat tarnogórski";56;67;73;72;99;99;
2414000;"Powiat bieruńsko-lędziński";26;40;24;34;42;52;
2415000;"Powiat wodzisławski";19;21;23;17;14;21;
2416000;"Powiat zawierciański";30;42;44;45;42;54;
2417000;"Powiat żywiecki";20;27;11;27;20;35;
2461000;"City with powiat status Bielsko-Biała";133;132;145;138;181;172;
2462000;"City with powiat status Bytom";41;46;53;75;77;97;
2463000;"City with powiat status Chorzów";11;20;17;19;16;16;
2464000;"City with powiat status Częstochowa";305;291;253;258;290;309;
2465000;"City with powiat status Dąbrowa Górnicza";28;25;28;29;23;22;
2466000;"City with powiat status Gliwice";130;116;147;140;157;212;
2467000;"City with powiat status Jastrzębie-Zdrój";25;22;10;20;16;19;
2468000;"City with powiat status Jaworzno";26;29;48;53;54;62;
2469000;"City with powiat status Katowice";113;91;86;110;131;139;
2470000;"City with powiat status Mysłowice";12;11;14;10;10;15;
2471000;"City with powiat status Piekary Śląskie";36;36;43;32;45;25;
2472000;"City with powiat status Ruda Śląska";49;45;56;52;48;51;
2473000;"City with powiat status Rybnik";44;22;52;43;33;30;
2474000;"City with powiat status Siemianowice Śląskie";52;34;50;45;37;52;
2475000;"City with powiat status Sosnowiec";113;95;84;88;104;104;
2476000;"City with powiat status Świętochłowice";33;49;35;34;30;30;
2477000;"City with powiat status Tychy";11;6;20;23;16;20;
2478000;"City with powiat status Zabrze";24;21;28;20;14;20;
2479000;"City with powiat status Żory";40;40;39;57;73;49;
2601000;"Powiat buski";22;30;35;25;25;49;
2602000;"Powiat jędrzejowski";28;16;27;31;27;24;
2603000;"Powiat kazimierski";11;13;8;9;13;16;
2604000;"Powiat kielecki";193;218;229;214;245;236;
2605000;"Powiat konecki";24;15;25;25;20;30;
2606000;"Powiat opatowski";21;23;18;13;8;10;
2607000;"Powiat ostrowiecki";36;39;45;60;26;35;
2608000;"Powiat pińczowski";20;12;13;8;12;17;
2609000;"Powiat sandomierski";34;25;16;28;16;9;
2610000;"Powiat skarżyski";32;35;18;22;16;27;
2611000;"Powiat starachowicki";46;44;63;60;69;77;
2612000;"Powiat staszowski";32;26;23;13;20;23;
2613000;"Powiat włoszczowski";18;16;13;20;18;12;
2661000;"City with powiat status Kielce";193;218;229;214;245;236;
2801000;"Powiat bartoszycki";13;12;15;6;11;12;
2802000;"Powiat braniewski";23;24;18;18;17;25;
2803000;"Powiat działdowski";22;30;23;17;24;17;
2804000;"Powiat elbląski";150;126;132;130;130;141;
2805000;"Powiat ełcki";36;52;50;53;65;54;
2806000;"Powiat giżycki";19;29;42;32;31;27;
2807000;"Powiat iławski";52;46;43;46;54;56;
2808000;"Powiat kętrzyński";27;26;28;37;28;30;
2809000;"Powiat lidzbarski";18;22;16;18;20;19;
2810000;"Powiat mrągowski";15;25;16;16;21;19;
2811000;"Powiat nidzicki";9;14;14;25;13;23;
2812000;"Powiat nowomiejski";7;15;16;20;22;9;
2813000;"Powiat olecki";21;15;24;19;37;32;
2814000;"Powiat olsztyński";52;49;41;57;55;41;
2815000;"Powiat ostródzki";34;44;22;27;33;35;
2816000;"Powiat piski";14;16;10;8;10;14;
2817000;"Powiat szczycieński";13;24;16;6;12;24;
2818000;"Powiat gołdapski";13;24;26;36;29;32;
2819000;"Powiat węgorzewski";8;18;14;14;12;19;
2861000;"City with powiat status Elbląg";150;126;132;130;130;141;
2862000;"City with powiat status Olsztyn";52;49;41;57;55;41;
3001000;"Powiat chodzieski";19;20;21;17;28;23;
3002000;"Powiat czarnkowsko-trzcianecki";47;42;51;61;75;98;
3003000;"Powiat gnieźnieński";33;40;23;50;38;52;
3004000;"Powiat gostyński";10;9;8;6;6;7;
3005000;"Powiat grodziski";1;5;4;1;1;6;
3006000;"Powiat jarociński";6;9;11;19;7;16;
3007000;"Powiat kaliski";49;41;38;45;58;55;
3008000;"Powiat kępiński";7;6;14;16;25;33;
3009000;"Powiat kolski";5;9;6;11;6;8;
3010000;"Powiat koniński";97;81;104;113;124;165;
3011000;"Powiat kościański";11;16;7;12;11;5;
3012000;"Powiat krotoszyński";9;10;16;18;21;24;
3013000;"Powiat leszczyński";14;8;13;8;5;4;
3014000;"Powiat międzychodzki";7;5;4;5;4;9;
3015000;"Powiat nowotomyski";4;8;8;8;6;6;
3016000;"Powiat obornicki";20;32;16;13;17;17;
3017000;"Powiat ostrowski";35;39;30;28;23;27;
3018000;"Powiat ostrzeszowski";12;9;8;5;10;9;
3019000;"Powiat pilski";76;66;53;51;38;71;
3020000;"Powiat pleszewski";27;13;23;25;20;16;
3021000;"Powiat poznański";61;97;80;93;112;118;
3022000;"Powiat rawicki";7;9;13;10;14;7;
3023000;"Powiat słupecki";37;51;70;54;49;42;
3024000;"Powiat szamotulski";24;23;21;19;12;20;
3025000;"Powiat średzki";7;4;11;7;6;2;
3026000;"Powiat śremski";5;7;8;6;12;3;
3027000;"Powiat turecki";10;13;28;36;27;37;
3028000;"Powiat wągrowiecki";16;32;36;37;30;43;
3029000;"Powiat wolsztyński";4;10;6;8;8;13;
3030000;"Powiat wrzesiński";7;3;3;4;3;14;
3031000;"Powiat złotowski";39;30;12;20;31;38;
3061000;"City with powiat status Kalisz";49;41;38;45;58;55;
3062000;"City with powiat status Konin";97;81;104;113;124;165;
3063000;"City with powiat status Leszno";14;8;13;8;5;4;
