"Code";"Name";"against life and health;2020;[-]";"against life and health;2021;[-]";"against life and health;2022;[-]";"against life and health;2023;[-]";"against property;2020;[-]";"against property;2021;[-]";"against property;2022;[-]";"against property;2023;[-]";
3008000;"Powiat kępiński";18;15;18;18;360;407;413;591;
3009000;"Powiat kolski";29;26;23;22;829;621;741;471;
3010000;"Powiat koniński";50;52;40;33;406;451;642;435;
3011000;"Powiat kościański";15;14;9;15;391;356;492;442;
3012000;"Powiat krotoszyński";18;9;19;17;483;741;410;849;
3013000;"Powiat leszczyński";3;6;5;10;168;191;304;162;
3014000;"Powiat międzychodzki";18;28;13;9;194;288;243;241;
3015000;"Powiat nowotomyski";9;15;15;11;438;541;443;754;
3016000;"Powiat obornicki";18;16;20;19;324;377;435;510;
3017000;"Powiat ostrowski";36;39;28;35;1258;1530;1589;1244;
3018000;"Powiat ostrzeszowski";9;5;9;17;238;245;287;294;
3019000;"Powiat pilski";65;43;65;48;1175;1125;1129;1109;
3020000;"Powiat pleszewski";8;16;6;12;338;359;355;645;
3021000;"Powiat poznański";73;99;96;106;2849;4205;3388;3795;
3022000;"Powiat rawicki";24;10;13;19;584;464;490;481;
3023000;"Powiat słupecki";18;10;13;12;651;446;330;209;
3024000;"Powiat szamotulski";20;32;23;35;565;753;907;580;
3025000;"Powiat średzki";14;9;12;13;1132;729;562;401;
3026000;"Powiat śremski";17;9;13;5;271;274;344;288;
3027000;"Powiat turecki";10;13;19;14;531;472;582;496;
3028000;"Powiat wągrowiecki";24;11;10;18;320;500;392;411;
3029000;"Powiat wolsztyński";10;14;16;13;186;281;275;219;
3030000;"Powiat wrzesiński";25;32;18;16;411;618;596;507;
3031000;"Powiat złotowski";29;27;20;14;370;359;354;407;
3061000;"City with powiat status Kalisz";38;29;40;43;1341;1473;1586;1108;
3062000;"City with powiat status Konin";33;34;26;52;850;1016;1002;690;
3063000;"City with powiat status Leszno";17;17;14;18;605;937;628;526;
3064000;"City with powiat status Poznań";282;250;283;277;8277;9540;10669;10513;
3201000;"Powiat białogardzki";16;20;10;24;296;319;716;406;
3202000;"Powiat choszczeński";34;31;22;23;1205;521;409;325;
3203000;"Powiat drawski";21;18;22;19;495;511;486;417;
3204000;"Powiat goleniowski";51;51;64;55;628;644;610;664;
3205000;"Powiat gryficki";35;51;43;27;577;673;671;791;
3206000;"Powiat gryfiński";44;30;40;37;658;685;644;584;
3207000;"Powiat kamieński";20;38;27;32;493;405;462;409;
3208000;"Powiat kołobrzeski";33;47;18;23;798;853;884;855;
