"Code";"Name";"net migration per 1000 population;total;2023;[person]";
1806000;"Powiat kolbuszowski";-1.6;
1807000;"Powiat krośnieński";-1.7;
1808000;"Powiat leżajski";-3.6;
1809000;"Powiat lubaczowski";-4.4;
1810000;"Powiat łańcucki";2.1;
1811000;"Powiat mielecki";-1.2;
1812000;"Powiat niżański";-1.9;
1813000;"Powiat przemyski";-1.4;
1814000;"Powiat przeworski";-1.8;
1815000;"Powiat ropczycko-sędziszowski";-0.9;
1816000;"Powiat rzeszowski";5.4;
1817000;"Powiat sanocki";-2.7;
1818000;"Powiat stalowowolski";-3.5;
1819000;"Powiat strzyżowski";-2.3;
1820000;"Powiat tarnobrzeski";-3.3;
1821000;"Powiat leski";-2.4;
2001000;"Powiat augustowski";-3.4;
2002000;"Powiat białostocki";11.6;
2003000;"Powiat bielski";-2.7;
2004000;"Powiat grajewski";-5.8;
2005000;"Powiat hajnowski";-3.9;
2006000;"Powiat kolneński";-5.5;
2007000;"Powiat łomżyński";0.8;
2008000;"Powiat moniecki";-4.7;
2009000;"Powiat sejneński";-2.3;
2010000;"Powiat siemiatycki";-4.3;
2011000;"Powiat sokólski";-5.2;
2012000;"Powiat suwalski";-1.2;
2013000;"Powiat wysokomazowiecki";-4.6;
2014000;"Powiat zambrowski";-3.2;
2201000;"Powiat bytowski";-2.1;
2202000;"Powiat chojnicki";-1.4;
2203000;"Powiat człuchowski";-1.6;
2204000;"Powiat gdański";11.8;
2205000;"Powiat kartuski";7.8;
2206000;"Powiat kościerski";-1.1;
2207000;"Powiat kwidzyński";-1.9;
2208000;"Powiat lęborski";-1.1;
2209000;"Powiat malborski";0.3;
2210000;"Powiat nowodworski";-1.2;
2211000;"Powiat pucki";8.3;
2212000;"Powiat słupski";3.4;
2213000;"Powiat starogardzki";-0.7;
2214000;"Powiat tczewski";-1.6;
2215000;"Powiat wejherowski";7.7;
2216000;"Powiat sztumski";-4.8;
2401000;"Powiat będziński";2.2;
2402000;"Powiat bielski";3.4;
2403000;"Powiat cieszyński";0.6;
2404000;"Powiat częstochowski";2.7;
2405000;"Powiat gliwicki";3.3;
2406000;"Powiat kłobucki";-0.8;
2407000;"Powiat lubliniecki";0.1;
2408000;"Powiat mikołowski";5.2;
2409000;"Powiat myszkowski";-0.6;
2410000;"Powiat pszczyński";-0.1;
2411000;"Powiat raciborski";-1.9;
2412000;"Powiat rybnicki";0.7;
2413000;"Powiat tarnogórski";4.9;
2414000;"Powiat bieruńsko-lędziński";1.8;
2415000;"Powiat wodzisławski";-0.4;
2416000;"Powiat zawierciański";-1.4;
2417000;"Powiat żywiecki";0.6;
2601000;"Powiat buski";-1.5;
2602000;"Powiat jędrzejowski";-3.6;
2603000;"Powiat kazimierski";-2.1;
2604000;"Powiat kielecki";1.6;
2605000;"Powiat konecki";-2.6;
2606000;"Powiat opatowski";-3.6;
2607000;"Powiat ostrowiecki";-3.9;
2608000;"Powiat pińczowski";-1.5;
2609000;"Powiat sandomierski";-3.3;
2610000;"Powiat skarżyski";-4.3;
2611000;"Powiat starachowicki";-2.3;
2612000;"Powiat staszowski";-3.4;
2613000;"Powiat włoszczowski";-2.9;
2801000;"Powiat bartoszycki";-4.5;
2802000;"Powiat braniewski";-6.4;
2803000;"Powiat działdowski";-4.5;
2804000;"Powiat elbląski";-2.7;
2805000;"Powiat ełcki";-0.8;
2806000;"Powiat giżycki";-0.9;
2807000;"Powiat iławski";-0.9;
2808000;"Powiat kętrzyński";-5.9;
2809000;"Powiat lidzbarski";-3.1;
2810000;"Powiat mrągowski";-3.1;
2811000;"Powiat nidzicki";-3.8;
2812000;"Powiat nowomiejski";-2.6;
2813000;"Powiat olecki";-0.2;
2814000;"Powiat olsztyński";7.4;
2815000;"Powiat ostródzki";-2.4;
2816000;"Powiat piski";-4.8;
2817000;"Powiat szczycieński";-0.6;
2818000;"Powiat gołdapski";-5.0;
2819000;"Powiat węgorzewski";-3.0;
3001000;"Powiat chodzieski";-2.7;
3002000;"Powiat czarnkowsko-trzcianecki";-2.4;
3003000;"Powiat gnieźnieński";-0.2;
3004000;"Powiat gostyński";-3.1;
3005000;"Powiat grodziski";-0.6;
3006000;"Powiat jarociński";-1.4;
3007000;"Powiat kaliski";-1.8;
3008000;"Powiat kępiński";-2.0;
3009000;"Powiat kolski";-2.8;
3010000;"Powiat koniński";0.7;
3011000;"Powiat kościański";-0.6;
3012000;"Powiat krotoszyński";-2.3;
3013000;"Powiat leszczyński";7.3;
3014000;"Powiat międzychodzki";-2.1;
3015000;"Powiat nowotomyski";0.4;
3016000;"Powiat obornicki";-0.1;
3017000;"Powiat ostrowski";-0.5;
3018000;"Powiat ostrzeszowski";0.0;
3019000;"Powiat pilski";-2.1;
3020000;"Powiat pleszewski";-0.5;
3021000;"Powiat poznański";12.0;
3022000;"Powiat rawicki";-1.4;
3023000;"Powiat słupecki";-1.2;
3024000;"Powiat szamotulski";1.9;
3025000;"Powiat średzki";3.0;
3026000;"Powiat śremski";0.3;
3027000;"Powiat turecki";-1.8;
3028000;"Powiat wągrowiecki";1.4;
3029000;"Powiat wolsztyński";-2.1;
3030000;"Powiat wrzesiński";1.9;
3031000;"Powiat złotowski";-1.1;
3201000;"Powiat białogardzki";-2.5;
3202000;"Powiat choszczeński";-2.7;
3203000;"Powiat drawski";-3.3;
3204000;"Powiat goleniowski";1.3;
3205000;"Powiat gryficki";-3.1;
3206000;"Powiat gryfiński";-2.0;
3207000;"Powiat kamieński";-1.5;
3208000;"Powiat kołobrzeski";2.2;
3209000;"Powiat koszaliński";3.9;
3210000;"Powiat myśliborski";-2.1;
3211000;"Powiat policki";13.6;
3212000;"Powiat pyrzycki";-3.6;
3213000;"Powiat sławieński";-3.8;
3214000;"Powiat stargardzki";2.2;
3215000;"Powiat szczecinecki";-1.9;
3216000;"Powiat świdwiński";-2.2;
3217000;"Powiat wałecki";-3.6;
3218000;"Powiat łobeski";-5.1;
